Question,Answer,Category,Difficulty
What is a neural network? (Q1492),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
Define a firewall. (Q1493),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
Difference between frontend and backend? (Q1494),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
What is two-factor authentication? (Q1495),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
What is the difference between SQL and NoSQL? (Q1496),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
What is a web framework? (Q1497),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
Explain the concept of recursion. (Q1498),Recursion is a method where a function calls itself to solve a smaller instance of a problem.,General,Medium
What is JavaScript used for? (Q1499),JavaScript adds interactivity and dynamic behavior to web pages.,General,Easy
What is phishing? (Q1500),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
What is JavaScript used for? (Q1501),JavaScript adds interactivity and dynamic behavior to web pages.,General,Easy
What is two-factor authentication? (Q1502),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
Difference between frontend and backend? (Q1503),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
Difference between supervised and unsupervised learning? (Q1504),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
Explain the concept of recursion. (Q1505),Recursion is a method where a function calls itself to solve a smaller instance of a problem.,General,Medium
What is a variable in programming? (Q1506),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
What is a web framework? (Q1507),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
Define a firewall. (Q1508),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
What is machine learning? (Q1509),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
What is two-factor authentication? (Q1510),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
What is SQL used for? (Q1511),SQL is used for managing and manipulating relational databases.,Databases,Easy
Difference between supervised and unsupervised learning? (Q1512),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
Difference between supervised and unsupervised learning? (Q1513),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
What are data types in programming? (Q1514),"Data types specify the type of data that a variable can hold, such as integer, float, string, etc.",Programming Basics,Easy
What is HTML? (Q1515),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is a neural network? (Q1516),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
What is machine learning? (Q1517),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
What is a primary key in a database? (Q1518),A primary key uniquely identifies each record in a table.,General,Easy
Explain polymorphism in OOP. (Q1519),Polymorphism allows objects to be treated as instances of their parent class rather than their actual class.,General,Hard
What are data types in programming? (Q1520),"Data types specify the type of data that a variable can hold, such as integer, float, string, etc.",Programming Basics,Easy
What is overfitting in machine learning? (Q1521),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is phishing? (Q1522),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
What is the difference between SQL and NoSQL? (Q1523),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
Difference between supervised and unsupervised learning? (Q1524),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
What is a variable in programming? (Q1525),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
Explain the concept of encryption. (Q1526),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
What is overfitting in machine learning? (Q1527),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
Explain polymorphism in OOP. (Q1528),Polymorphism allows objects to be treated as instances of their parent class rather than their actual class.,General,Hard
What is a neural network? (Q1529),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
What is a neural network? (Q1530),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
What is the difference between a compiler and an interpreter? (Q1531),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
What is the difference between a compiler and an interpreter? (Q1532),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
What is the use of CSS? (Q1533),CSS is used to style and layout web pages.,General,Easy
What is SQL used for? (Q1534),SQL is used for managing and manipulating relational databases.,Databases,Easy
What is HTML? (Q1535),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
Explain the concept of recursion. (Q1536),Recursion is a method where a function calls itself to solve a smaller instance of a problem.,General,Medium
What is SQL used for? (Q1537),SQL is used for managing and manipulating relational databases.,Databases,Easy
What is machine learning? (Q1538),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
What is JavaScript used for? (Q1539),JavaScript adds interactivity and dynamic behavior to web pages.,General,Easy
What are data types in programming? (Q1540),"Data types specify the type of data that a variable can hold, such as integer, float, string, etc.",Programming Basics,Easy
What is HTML? (Q1541),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is object-oriented programming? (Q1542),OOP is a programming paradigm based on the concept of 'objects' which contain data and methods.,Programming Basics,Medium
Difference between frontend and backend? (Q1543),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
Explain the concept of encryption. (Q1544),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
What is artificial intelligence? (Q1545),AI is the simulation of human intelligence processes by machines.,General,Easy
Explain polymorphism in OOP. (Q1546),Polymorphism allows objects to be treated as instances of their parent class rather than their actual class.,General,Hard
What is a primary key in a database? (Q1547),A primary key uniquely identifies each record in a table.,General,Easy
Explain the concept of recursion. (Q1548),Recursion is a method where a function calls itself to solve a smaller instance of a problem.,General,Medium
What is a brute force attack? (Q1549),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
What is machine learning? (Q1550),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
What is SQL used for? (Q1551),SQL is used for managing and manipulating relational databases.,Databases,Easy
Define a firewall. (Q1552),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
Explain polymorphism in OOP. (Q1553),Polymorphism allows objects to be treated as instances of their parent class rather than their actual class.,General,Hard
Explain normalization in databases. (Q1554),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
Explain the concept of encryption. (Q1555),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
What is HTML? (Q1556),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is a web framework? (Q1557),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
What is a neural network? (Q1558),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
Explain the concept of recursion. (Q1559),Recursion is a method where a function calls itself to solve a smaller instance of a problem.,General,Medium
Define a firewall. (Q1560),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
What is two-factor authentication? (Q1561),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
Explain normalization in databases. (Q1562),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
What is phishing? (Q1563),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
Difference between supervised and unsupervised learning? (Q1564),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
Define a firewall. (Q1565),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
Explain the concept of recursion. (Q1566),Recursion is a method where a function calls itself to solve a smaller instance of a problem.,General,Medium
What is a web framework? (Q1567),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
Difference between supervised and unsupervised learning? (Q1568),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
Explain the concept of encryption. (Q1569),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
What is a neural network? (Q1570),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
What is object-oriented programming? (Q1571),OOP is a programming paradigm based on the concept of 'objects' which contain data and methods.,Programming Basics,Medium
Difference between supervised and unsupervised learning? (Q1572),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
What is object-oriented programming? (Q1573),OOP is a programming paradigm based on the concept of 'objects' which contain data and methods.,Programming Basics,Medium
What is object-oriented programming? (Q1574),OOP is a programming paradigm based on the concept of 'objects' which contain data and methods.,Programming Basics,Medium
What is a neural network? (Q1575),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
Define a firewall. (Q1576),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
What is HTML? (Q1577),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is object-oriented programming? (Q1578),OOP is a programming paradigm based on the concept of 'objects' which contain data and methods.,Programming Basics,Medium
What is a neural network? (Q1579),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
What is the difference between a compiler and an interpreter? (Q1580),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
What is a web framework? (Q1581),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
What is SQL used for? (Q1582),SQL is used for managing and manipulating relational databases.,Databases,Easy
Explain the concept of encryption. (Q1583),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
What is object-oriented programming? (Q1584),OOP is a programming paradigm based on the concept of 'objects' which contain data and methods.,Programming Basics,Medium
What is phishing? (Q1585),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
What is HTML? (Q1586),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is HTML? (Q1587),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is a variable in programming? (Q1588),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
Explain the concept of encryption. (Q1589),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
What is a variable in programming? (Q1590),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
What is a neural network? (Q1591),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
What is a neural network? (Q1592),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
What is the use of CSS? (Q1593),CSS is used to style and layout web pages.,General,Easy
What is the difference between SQL and NoSQL? (Q1594),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
What is a web framework? (Q1595),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
What is HTML? (Q1596),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
Explain normalization in databases. (Q1597),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
Define a firewall. (Q1598),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
Explain the concept of recursion. (Q1599),Recursion is a method where a function calls itself to solve a smaller instance of a problem.,General,Medium
What is the use of CSS? (Q1600),CSS is used to style and layout web pages.,General,Easy
What is a foreign key? (Q1601),A foreign key is a field in one table that uniquely identifies a row in another table.,General,Medium
What is a web framework? (Q1602),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
What is a brute force attack? (Q1603),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
What is overfitting in machine learning? (Q1604),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is a neural network? (Q1605),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
Explain polymorphism in OOP. (Q1606),Polymorphism allows objects to be treated as instances of their parent class rather than their actual class.,General,Hard
Difference between supervised and unsupervised learning? (Q1607),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
What is a foreign key? (Q1608),A foreign key is a field in one table that uniquely identifies a row in another table.,General,Medium
What is the difference between a compiler and an interpreter? (Q1609),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
What is two-factor authentication? (Q1610),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
Explain normalization in databases. (Q1611),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
What is HTML? (Q1612),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is two-factor authentication? (Q1613),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
What is the difference between a compiler and an interpreter? (Q1614),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
Explain the concept of encryption. (Q1615),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
What is two-factor authentication? (Q1616),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
Difference between supervised and unsupervised learning? (Q1617),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
What is HTML? (Q1618),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
Explain the concept of encryption. (Q1619),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
What is a variable in programming? (Q1620),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
Explain polymorphism in OOP. (Q1621),Polymorphism allows objects to be treated as instances of their parent class rather than their actual class.,General,Hard
What is a neural network? (Q1622),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
Explain the concept of recursion. (Q1623),Recursion is a method where a function calls itself to solve a smaller instance of a problem.,General,Medium
What is overfitting in machine learning? (Q1624),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is HTML? (Q1625),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
Explain normalization in databases. (Q1626),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
What is HTML? (Q1627),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is HTML? (Q1628),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
Explain the concept of encryption. (Q1629),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
What are data types in programming? (Q1630),"Data types specify the type of data that a variable can hold, such as integer, float, string, etc.",Programming Basics,Easy
What is phishing? (Q1631),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
What is the difference between SQL and NoSQL? (Q1632),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
Difference between frontend and backend? (Q1633),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
What is artificial intelligence? (Q1634),AI is the simulation of human intelligence processes by machines.,General,Easy
What is the use of CSS? (Q1635),CSS is used to style and layout web pages.,General,Easy
What is the use of CSS? (Q1636),CSS is used to style and layout web pages.,General,Easy
What is artificial intelligence? (Q1637),AI is the simulation of human intelligence processes by machines.,General,Easy
What is JavaScript used for? (Q1638),JavaScript adds interactivity and dynamic behavior to web pages.,General,Easy
What is the difference between SQL and NoSQL? (Q1639),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
What is object-oriented programming? (Q1640),OOP is a programming paradigm based on the concept of 'objects' which contain data and methods.,Programming Basics,Medium
Explain the concept of recursion. (Q1641),Recursion is a method where a function calls itself to solve a smaller instance of a problem.,General,Medium
Explain the concept of recursion. (Q1642),Recursion is a method where a function calls itself to solve a smaller instance of a problem.,General,Medium
Explain the concept of encryption. (Q1643),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
What is two-factor authentication? (Q1644),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
Explain the concept of encryption. (Q1645),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
What is a web framework? (Q1646),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
What is object-oriented programming? (Q1647),OOP is a programming paradigm based on the concept of 'objects' which contain data and methods.,Programming Basics,Medium
What are data types in programming? (Q1648),"Data types specify the type of data that a variable can hold, such as integer, float, string, etc.",Programming Basics,Easy
Explain polymorphism in OOP. (Q1649),Polymorphism allows objects to be treated as instances of their parent class rather than their actual class.,General,Hard
What is phishing? (Q1650),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
What is JavaScript used for? (Q1651),JavaScript adds interactivity and dynamic behavior to web pages.,General,Easy
What is a web framework? (Q1652),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
What is SQL used for? (Q1653),SQL is used for managing and manipulating relational databases.,Databases,Easy
Explain normalization in databases. (Q1654),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
What is phishing? (Q1655),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
What is a brute force attack? (Q1656),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
What is the difference between a compiler and an interpreter? (Q1657),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
What is object-oriented programming? (Q1658),OOP is a programming paradigm based on the concept of 'objects' which contain data and methods.,Programming Basics,Medium
What is a brute force attack? (Q1659),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
Difference between supervised and unsupervised learning? (Q1660),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
What is SQL used for? (Q1661),SQL is used for managing and manipulating relational databases.,Databases,Easy
Define a firewall. (Q1662),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
Difference between frontend and backend? (Q1663),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
What are data types in programming? (Q1664),"Data types specify the type of data that a variable can hold, such as integer, float, string, etc.",Programming Basics,Easy
Difference between supervised and unsupervised learning? (Q1665),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
What is a brute force attack? (Q1666),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
What is JavaScript used for? (Q1667),JavaScript adds interactivity and dynamic behavior to web pages.,General,Easy
What is object-oriented programming? (Q1668),OOP is a programming paradigm based on the concept of 'objects' which contain data and methods.,Programming Basics,Medium
What is the difference between a compiler and an interpreter? (Q1669),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
Explain the concept of encryption. (Q1670),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
What is a primary key in a database? (Q1671),A primary key uniquely identifies each record in a table.,General,Easy
What is artificial intelligence? (Q1672),AI is the simulation of human intelligence processes by machines.,General,Easy
What is overfitting in machine learning? (Q1673),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is HTML? (Q1674),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is a primary key in a database? (Q1675),A primary key uniquely identifies each record in a table.,General,Easy
What is two-factor authentication? (Q1676),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
What is artificial intelligence? (Q1677),AI is the simulation of human intelligence processes by machines.,General,Easy
What is JavaScript used for? (Q1678),JavaScript adds interactivity and dynamic behavior to web pages.,General,Easy
What is HTML? (Q1679),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is object-oriented programming? (Q1680),OOP is a programming paradigm based on the concept of 'objects' which contain data and methods.,Programming Basics,Medium
What are data types in programming? (Q1681),"Data types specify the type of data that a variable can hold, such as integer, float, string, etc.",Programming Basics,Easy
What is JavaScript used for? (Q1682),JavaScript adds interactivity and dynamic behavior to web pages.,General,Easy
What is object-oriented programming? (Q1683),OOP is a programming paradigm based on the concept of 'objects' which contain data and methods.,Programming Basics,Medium
What is the use of CSS? (Q1684),CSS is used to style and layout web pages.,General,Easy
What is HTML? (Q1685),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
Explain the concept of recursion. (Q1686),Recursion is a method where a function calls itself to solve a smaller instance of a problem.,General,Medium
What is machine learning? (Q1687),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
What is overfitting in machine learning? (Q1688),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is the use of CSS? (Q1689),CSS is used to style and layout web pages.,General,Easy
What is phishing? (Q1690),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
What is artificial intelligence? (Q1691),AI is the simulation of human intelligence processes by machines.,General,Easy
What is artificial intelligence? (Q1692),AI is the simulation of human intelligence processes by machines.,General,Easy
What is the use of CSS? (Q1693),CSS is used to style and layout web pages.,General,Easy
What is the difference between SQL and NoSQL? (Q1694),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
What is overfitting in machine learning? (Q1695),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is the difference between SQL and NoSQL? (Q1696),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
Define a firewall. (Q1697),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
What is a variable in programming? (Q1698),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
What is HTML? (Q1699),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is the difference between SQL and NoSQL? (Q1700),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
What is a neural network? (Q1701),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
What is a web framework? (Q1702),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
What are data types in programming? (Q1703),"Data types specify the type of data that a variable can hold, such as integer, float, string, etc.",Programming Basics,Easy
What is a brute force attack? (Q1704),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
Difference between frontend and backend? (Q1705),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
What is overfitting in machine learning? (Q1706),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is HTML? (Q1707),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
Difference between frontend and backend? (Q1708),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
Explain normalization in databases. (Q1709),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
What is SQL used for? (Q1710),SQL is used for managing and manipulating relational databases.,Databases,Easy
Difference between supervised and unsupervised learning? (Q1711),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
What is a web framework? (Q1712),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
What is HTML? (Q1713),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is artificial intelligence? (Q1714),AI is the simulation of human intelligence processes by machines.,General,Easy
Difference between frontend and backend? (Q1715),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
What is phishing? (Q1716),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
What is a neural network? (Q1717),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
What is a variable in programming? (Q1718),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
Explain polymorphism in OOP. (Q1719),Polymorphism allows objects to be treated as instances of their parent class rather than their actual class.,General,Hard
What is SQL used for? (Q1720),SQL is used for managing and manipulating relational databases.,Databases,Easy
What is JavaScript used for? (Q1721),JavaScript adds interactivity and dynamic behavior to web pages.,General,Easy
What is a web framework? (Q1722),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
Explain the concept of encryption. (Q1723),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
Explain normalization in databases. (Q1724),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
Define a firewall. (Q1725),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
What is artificial intelligence? (Q1726),AI is the simulation of human intelligence processes by machines.,General,Easy
Define a firewall. (Q1727),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
What is the use of CSS? (Q1728),CSS is used to style and layout web pages.,General,Easy
Explain normalization in databases. (Q1729),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
What is phishing? (Q1730),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
What is artificial intelligence? (Q1731),AI is the simulation of human intelligence processes by machines.,General,Easy
What is a neural network? (Q1732),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
What is a brute force attack? (Q1733),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
What is the difference between a compiler and an interpreter? (Q1734),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
What is machine learning? (Q1735),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
What is machine learning? (Q1736),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
What is two-factor authentication? (Q1737),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
Difference between frontend and backend? (Q1738),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
What is the difference between SQL and NoSQL? (Q1739),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
Explain normalization in databases. (Q1740),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
What is a neural network? (Q1741),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
Difference between frontend and backend? (Q1742),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
What is SQL used for? (Q1743),SQL is used for managing and manipulating relational databases.,Databases,Easy
Explain the concept of recursion. (Q1744),Recursion is a method where a function calls itself to solve a smaller instance of a problem.,General,Medium
Define a firewall. (Q1745),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
What are data types in programming? (Q1746),"Data types specify the type of data that a variable can hold, such as integer, float, string, etc.",Programming Basics,Easy
What is artificial intelligence? (Q1747),AI is the simulation of human intelligence processes by machines.,General,Easy
What is the difference between a compiler and an interpreter? (Q1748),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
What is the use of CSS? (Q1749),CSS is used to style and layout web pages.,General,Easy
What is HTML? (Q1750),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
Explain the concept of encryption. (Q1751),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
What is phishing? (Q1752),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
What is the difference between a compiler and an interpreter? (Q1753),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
What is object-oriented programming? (Q1754),OOP is a programming paradigm based on the concept of 'objects' which contain data and methods.,Programming Basics,Medium
Explain the concept of encryption. (Q1755),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
What is two-factor authentication? (Q1756),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
What is phishing? (Q1757),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
Explain the concept of recursion. (Q1758),Recursion is a method where a function calls itself to solve a smaller instance of a problem.,General,Medium
Explain normalization in databases. (Q1759),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
What is two-factor authentication? (Q1760),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
Define a firewall. (Q1761),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
What is a neural network? (Q1762),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
What is a brute force attack? (Q1763),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
What is JavaScript used for? (Q1764),JavaScript adds interactivity and dynamic behavior to web pages.,General,Easy
Define a firewall. (Q1765),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
What is two-factor authentication? (Q1766),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
What is the difference between SQL and NoSQL? (Q1767),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
What is the difference between a compiler and an interpreter? (Q1768),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
What is a web framework? (Q1769),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
What is overfitting in machine learning? (Q1770),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is a foreign key? (Q1771),A foreign key is a field in one table that uniquely identifies a row in another table.,General,Medium
What is artificial intelligence? (Q1772),AI is the simulation of human intelligence processes by machines.,General,Easy
What is machine learning? (Q1773),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
Explain the concept of encryption. (Q1774),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
